,Latitude,Longitude,Code,Borough
121,20.6500938,-103.3898494,44538,Rinconada de La Victoria
122,20.6459897,-103.3966121,44540,Perla Real
123,20.6435278,-103.3916519,44540,Jardines del Valle
124,20.6532834,-103.3881658,44549,Rinconada de La Arboleda
125,20.6470217,-103.3972416,44550,Verde Valle
126,20.6491702,-103.3964584,44559,Turquesa
127,20.6395017,-103.3940659,44580,Santa Eduwiges
128,20.6760789,-103.3779083,44600,Ladrón de Guevara
129,20.6890244,-103.3672188,44600,Villaseñor
130,20.7135198,-103.3610292,44610,Lomas Del Country
131,20.7032543,-103.3705797,44610,Country Club
132,20.6720375,-103.3383962,44620,Ayuntamiento
133,20.6968865,-103.3670597,44620,Chapultepec Country
134,20.6974975,-103.3859523,44630,Providencia
135,20.6924391,-103.3801802,44648,Italia Providencia
136,20.6809903,-103.3790304,44650,Rojas Ladrón de Guevara
137,20.6891736,-103.3457534,44656,Jesús Garcia
138,20.6898697,-103.3834417,44657,Lomas de Guevara
139,20.6905522,-103.377734,44658,Italia
140,20.697276,-103.390631,44658,Providencia Sur
141,20.705687,-103.3806952,44660,Aldrete
142,20.7030517,-103.4022405,44660,Colinas de San Javier
143,20.7080956,-103.3836992,44660,Los Colomos
144,20.7080956,-103.3836992,44660,Villa de los Colomos
145,20.7026561,-103.3842571,44660,Colomos Providencia
146,20.6875152,-103.3921078,44670,Eulogio Parra
147,20.6817797,-103.3957584,44670,Monraz
148,20.685191850000002,-103.38266594104167,44670,Prados de Providencia
149,20.7522444,-105.1571747,44670,Lomas del Valle
150,20.6829842,-103.3824761,44680,Circunvalación Guevara
151,20.682924,-103.3855231,44680,Circunvalación Vallarta
152,20.6679017,-103.324527,44689,Terranova
153,20.6812437,-103.3990638,44690,Rinconada Santa Rita
154,20.6778651,-103.3876689,44690,Vallarta Norte
155,20.675978,-103.3979042,44690,Vallarta San Jorge
156,20.7029081,-103.3216427,44700,Guadalajara Oriente
157,20.6744795,-103.3248636,44700,Oblatos
158,20.6720375,-103.3383962,44710,San Martín
159,20.685564,-103.283737,44710,Santos Degollado
160,20.6880218,-103.2917922,44716,Circunvalación Oblatos
161,20.6461703,-103.3282737,44720,Arandas
162,20.684594,-103.282771,44723,Plutarco Elias Calles 1
163,20.696765,-103.303591,44724,San Eugenio
164,20.696765,-103.303591,44724,San Eugenio
